date,time,p_w
237,93,0.0
237,94,0.0
237,95,0.0
237,96,0.0
238,1,0.0
238,2,0.0
238,3,0.0
238,4,0.0
238,5,0.0
238,6,0.0
238,7,0.0
238,8,0.0
238,9,0.0
238,10,0.0
238,11,0.0
238,12,0.0
238,13,0.0
238,14,0.0
238,15,0.0
238,16,0.0
238,17,0.0
238,18,0.0
238,19,0.0
238,20,0.0
238,21,100.7
238,22,100.7
238,23,100.7
238,24,100.7
238,25,1080.8
238,26,1080.8
238,27,1080.8
238,28,1080.8
238,29,2966.3
238,30,2966.3
238,31,2966.3
238,32,2966.3
238,33,4334.6
238,34,4334.6
238,35,4334.6
238,36,4334.6
238,37,5870.5
238,38,5870.5
238,39,5870.5
238,40,5870.5
238,41,6678.5
238,42,6678.5
238,43,6678.5
238,44,6678.5
238,45,7013.9
238,46,7013.9
238,47,7013.9
238,48,7013.9
238,49,6924.7
238,50,6924.7
238,51,6924.7
238,52,6924.7
238,53,6502.8
238,54,6502.8
238,55,6502.8
238,56,6502.8
238,57,5509.8
238,58,5509.8
238,59,5509.8
238,60,5509.8
238,61,3960.0
238,62,3960.0
238,63,3960.0
238,64,3960.0
238,65,1858.6
238,66,1858.6
238,67,1858.6
238,68,1858.6
238,69,526.5
238,70,526.5
238,71,526.5
238,72,526.5
238,73,0.0
238,74,0.0
238,75,0.0
238,76,0.0
238,77,0.0
238,78,0.0
238,79,0.0
238,80,0.0
238,81,0.0
238,82,0.0
238,83,0.0
238,84,0.0
238,85,0.0
238,86,0.0
238,87,0.0
238,88,0.0
238,89,0.0
238,90,0.0
238,91,0.0
238,92,0.0
238,93,0.0
238,94,0.0
238,95,0.0
238,96,0.0
239,1,0.0
239,2,0.0
239,3,0.0
239,4,0.0
239,5,0.0
239,6,0.0
239,7,0.0
239,8,0.0
239,9,0.0
239,10,0.0
239,11,0.0
239,12,0.0
239,13,0.0
239,14,0.0
239,15,0.0
239,16,0.0
239,17,0.0
239,18,0.0
239,19,0.0
239,20,0.0
239,21,85.1
